ticker,isin,name,currency,sector,country
RU000A10DTG9,RU000A10DTG9,ВТБ Лизинг 001Р-МБ-04,RUB,Other,Россия
RU000A10AEB8,RU000A10AEB8,РусГидро БО-002Р-05,RUB,Utilities,Россия
RU000A106R95,RU000A106R95,Селектел 001P-03R,RUB,IT,Россия
RU000A10AHE5,RU000A10AHE5,Новые Технологии 001Р-02,RUB,Materials,
RU000A104WJ1,RU000A104WJ1,МТС 001P-21,RUB,Telecom,Россия
RU000A1005L6,RU000A1005L6,АФК Система БО 001P-09,RUB,Financial,Россия
RU000A10F6U3,RU000A10F6U3,Русгидро БО-002Р-13,RUB,Utilities,Россия
RU000A105NT6,RU000A105NT6,Магаданская область ГО2022,RUB,Municipal,Россия
RU000A10BNF8,RU000A10BNF8,РусГидро БО-П13,RUB,Utilities,Россия
RU000A10A349,RU000A10A349,РусГидро БО-002Р-01,RUB,Utilities,Россия
RU000A107AG6,RU000A107AG6,Россети Центр 001Р-03,RUB,Utilities,Россия
RU000A10CKS5,RU000A10CKS5,СФО Альфа Фабрика ПК-1 класс А,RUB,Financial,Россия
RU000A10DCF7,RU000A10DCF7,ХК Новотранс 002P-01,RUB,Industrials,Россия
RU000A1040S8,RU000A1040S8,Ульяновская область 34004,RUB,Municipal,Россия
RU000A104BC0,RU000A104BC0,Калининградская область 35004,RUB,Municipal,Россия
RU000A106ZP6,RU000A106ZP6,СФО ВТБ РКС Эталон 03,RUB,Financial,Россия
RU000A10B3A6,RU000A10B3A6,Атомэнергопром 001Р-04,RUB,Energy,Россия
RU000A10BGF2,RU000A10BGF2,РЖД БО 001P-42R,RUB,Industrials,Россия
RU000A10C8T4,RU000A10C8T4,СИБУР Холдинг 001Р-07,RUB,Energy,
RU000A101M04,RU000A101M04,РЖД БО 001Р-20R,RUB,Industrials,Россия
RU000A105QX1,RU000A105QX1,Газпром капитал БЗО26-1-Е,RUB,Energy,Россия
RU000A10DHT7,RU000A10DHT7,ДельтаЛизинг 001Р-03,RUB,Financial,Россия
RU000A10BW70,RU000A10BW70,Томская область 34074,RUB,Municipal,Россия
RU000A109TJ6,RU000A109TJ6,Банк ПСБ 003P-09,RUB,Financial,Россия
RU000A10DDR0,RU000A10DDR0,Яндекс 001Р-03,RUB,IT,Россия
RU000A109098,RU000A109098,Группа Позитив 001Р-01,RUB,IT,Россия
RU000A10B0B0,RU000A10B0B0,Группа ЛСР БО 001Р-10,RUB,RealEstate,Россия
RU000A108G70,RU000A108G70,НОВАТЭК 001P-02,RUB,Energy,Россия
RU000A10E8P0,RU000A10E8P0,РЖД БО 001P-51R,RUB,Industrials,Россия
RU000A103PX8,RU000A103PX8,Группа ЛСР БО 001Р-07,RUB,RealEstate,Россия
